DGI.gene_claim_name	DGI.gene_concept_id	DGI.gene_name	DGI.interaction_source_db_name	DGI.interaction_source_db_version	DGI.interaction_type	DGI.interaction_score	DGI.drug_claim_name	DGI.drug_concept_id	DGI.drug_name	DGI.approved	DGI.immunotherapy	DGI.anti_neoplastic
APOB	hgnc:603	APOB	NCI	14-Sep-17	NULL	0.023482858	DEXAMETHASONE	rxcui:3264	DEXAMETHASONE	TRUE	FALSE	TRUE
APOLIPOPROTEIN B-100	hgnc:603	APOB	TTD	2020.06.01	NULL	NULL	SPC4955	NULL	NULL	NULL	NULL	NULL
APOB	hgnc:603	APOB	NCI	14-Sep-17	NULL	NULL	CHONDROITIN	NULL	NULL	NULL	NULL	NULL
NCBIGENE:338	hgnc:603	APOB	GuideToPharmacology	2024.1	agonist	0.043902735	IUPHAR.LIGAND:1882	rxcui:598	ALPROSTADIL	TRUE	FALSE	FALSE
UNIPROT:P04114	hgnc:603	APOB	TdgClinicalTrial	Jan-14	NULL	0.5048814541893701	MIPOMERSEN	rxcui:1367839	MIPOMERSEN	TRUE	FALSE	FALSE
APOB	hgnc:603	APOB	PharmGKB	4/5/24	NULL	0.3786610906420276	irbesartan	rxcui:83818	IRBESARTAN	TRUE	FALSE	FALSE
APOB	hgnc:603	APOB	PharmGKB	4/5/24	NULL	0.1553481397505754	fenofibrate	rxcui:221100	FENOFIBRATE MICRONIZED	TRUE	FALSE	FALSE
NCBIGENE:338	hgnc:603	APOB	GuideToPharmacology	2024.1	agonist	0.1262203635473425	IUPHAR.LIGAND:1893	iuphar.ligand:1893	CARBACYCLIN	FALSE	FALSE	FALSE
APOB	hgnc:603	APOB	NCI	14-Sep-17	NULL	0.074797252	PRAVASTATIN	rxcui:203144	PRAVASTATIN SODIUM	TRUE	FALSE	FALSE
APOB	hgnc:603	APOB	PharmGKB	4/5/24	NULL	0.2243917574174978	dabigatran	rxcui:1546356	DABIGATRAN	TRUE	FALSE	FALSE
NCBIGENE:338	hgnc:603	APOB	GuideToPharmacology	2024.1	agonist	0.2019525816757481	IUPHAR.LIGAND:1894	ncit:C79571	CLOPROSTENOL	FALSE	FALSE	FALSE
APOB	hgnc:603	APOB	NCI	14-Sep-17	NULL	0.067317527	TRIFLUOPERAZINE	rxcui:10800	TRIFLUOPERAZINE	TRUE	FALSE	FALSE
APOB	hgnc:603	APOB	NCI	14-Sep-17	NULL	0.025563618	ETHANOL	rxcui:1310469	DEHYDRATED ALCOHOL	TRUE	FALSE	FALSE
APOB	hgnc:603	APOB	NCI	14-Sep-17	NULL	0.1187956362798518	EGCG	rxcui:24246	EPIGALLOCATECHIN GALLATE	TRUE	FALSE	FALSE
NCBIGENE:338	hgnc:603	APOB	GuideToPharmacology	2024.1	agonist	0.5048814541893701	IUPHAR.LIGAND:1889	iuphar.ligand:1889	ZK110841	FALSE	FALSE	FALSE
NCBIGENE:338	hgnc:603	APOB	GuideToPharmacology	2024.1	agonist	0.5048814541893701	IUPHAR.LIGAND:1876	iuphar.ligand:1876	&DELTA;12-PGJ2	FALSE	FALSE	FALSE
APOB	hgnc:603	APOB	NCI	14-Sep-17	NULL	0.091796628	NEVIRAPINE	rxcui:53654	NEVIRAPINE	TRUE	FALSE	FALSE
APOB	hgnc:603	APOB	PharmGKB	4/5/24	NULL	0.4039051633514962	edoxaban	rxcui:1599538	EDOXABAN	TRUE	FALSE	FALSE
APOB	hgnc:603	APOB	NCI	14-Sep-17	NULL	0.025563618	QUERCETIN	rxcui:9060	QUERCETIN	TRUE	FALSE	TRUE
APOB	hgnc:603	APOB	NCI	14-Sep-17	NULL	0.094665273	HEPARIN	rxcui:5224	HEPARIN	TRUE	FALSE	FALSE
APOB	hgnc:603	APOB	NCI	14-Sep-17	NULL	0.1553481397505754	FENOFIBRATE	rxcui:221100	FENOFIBRATE MICRONIZED	TRUE	FALSE	FALSE
APOB	hgnc:603	APOB	NCI	14-Sep-17	NULL	0.1835932560688619	ATORVASTATIN	rxcui:1297766	ATORVASTATIN CALCIUM TRIHYDRATE	TRUE	FALSE	FALSE
APOB	hgnc:603	APOB	PharmGKB	4/5/24	NULL	0.2019525816757481	lomitapide	rxcui:1364478	LOMITAPIDE MESYLATE	TRUE	FALSE	FALSE
NCBIGENE:338	hgnc:603	APOB	GuideToPharmacology	2024.1	agonist	0.5048814541893701	IUPHAR.LIGAND:1880	iuphar.ligand:1880	L-888,291	FALSE	FALSE	FALSE
