GenCC.uuid	GenCC.gene_curie	GenCC.Gene	GenCC.disease_curie	GenCC.disease_title	GenCC.disease_original_curie	GenCC.disease_original_title	GenCC.classification_curie	GenCC.classification_title	GenCC.moi_curie	GenCC.Inheritance	GenCC.submitter_curie	GenCC.submitter_title	GenCC.submitted_as_hgnc_id	GenCC.submitted_as_hgnc_symbol	GenCC.OMIM	GenCC.Disease	GenCC.MOI	GenCC.submitted_as_moi_name	GenCC.GENCC	GenCC.Submiiter	GenCC.submitted_as_classification_id	GenCC.Classification	GenCC.submitted_as_date	GenCC.submitted_as_public_report_url	GenCC.submitted_as_notes	GenCC.submitted_as_pmids	GenCC.submitted_as_assertion_criteria_url	GenCC.submitted_as_submission_id	GenCC.submitted_run_date
GENCC_000104-HGNC_603-OMIM_144010-HP_0000006-GENCC_100002	HGNC:603	APOB	MONDO:0007751	hypercholesterolemia, autosomal dominant, type B	OMIM:144010	Hypercholesterolemia, familial, 2	GENCC:100002	Strong	HP:0000006	AD	GENCC:000104	Genomics England PanelApp	HGNC:603	APOB	144010	HYPERCHOLESTEROLEMIA, FAMILIAL, 2 144010	0000006	Autosomal dominant inheritance	:000104	Genomics England PanelApp	GENCC:100002	Strong	2020-10-15 13:04:46	https://panelapp.genomicsengland.co.uk/panels/527				000104.pa527.v1.4.hgnc:603.m1.p1	2021-03-31
GENCC_000104-HGNC_603-OMIM_615558-HP_0000007-GENCC_100002	HGNC:603	APOB	MONDO:0014252	familial hypobetalipoproteinemia 1	OMIM:615558	Hypobetalipoproteinemia	GENCC:100002	Strong	HP:0000007	AR	GENCC:000104	Genomics England PanelApp	HGNC:603	APOB	615558	HYPOBETALIPOPROTEINEMIA 615558	0000007	Autosomal recessive inheritance	:000104	Genomics England PanelApp	GENCC:100002	Strong	2020-10-15 13:04:46	https://panelapp.genomicsengland.co.uk/panels/527				000104.pa527.v1.4.hgnc:603.m2.p1	2021-03-31
GENCC_000111-HGNC_603-OMIM_615558-HP_0000007-GENCC_100002	HGNC:603	APOB	MONDO:0014252	familial hypobetalipoproteinemia 1	OMIM:615558	Hypobetalipoproteinemia	GENCC:100002	Strong	HP:0000007	AR	GENCC:000111	PanelApp Australia	HGNC:603	APOB	615558	Hypobetalipoproteinemia, MIM# 615558	0000007	Autosomal recessive inheritance	:000111	PanelApp Australia	GENCC:100002	Strong	2021-01-05 13:07:27	https://panelapp.agha.umccr.org/panels/89/		0	https://panelapp.agha.umccr.org/#!Guidelines	000111.89.603	2021-01-21
GENCC_000101-HGNC_603-OMIM_144010-HP_0000006-GENCC_100001	HGNC:603	APOB	MONDO:0007751	hypercholesterolemia, autosomal dominant, type B	OMIM:144010	Hypercholesterolemia, familial, 2	GENCC:100001	Definitive	HP:0000006	AD	GENCC:000101	Ambry Genetics	HGNC:603	APOB	144010	Hypercholesterolemia, familial, 2	0000006	Autosomal dominant inheritance	:000101	Ambry Genetics	GENCC:100001	Definitive	2018-08-31 13:29:26				PMID: 28106320	995	2020-12-24
GENCC_000110-HGNC_603-Orphanet_391665-HP_0000007-GENCC_100009	HGNC:603	APOB	MONDO:0018328	homozygous familial hypercholesterolemia	Orphanet:391665	Orphanet:391665	GENCC:100009	Supportive	HP:0000007	AR	GENCC:000110	Orphanet	HGNC:603	APOB	Orphanet:391665	Homozygous familial hypercholesterolemia	0000007	Autosomal recessive inheritance	:000110	Orphanet	GENCC:100009	Supportive	2021-09-14 00:00:00			24404629[PMID]	https://www.orpha.net/orphacom/cahiers/docs/GB/Orphanet_Genes_inventory_R1_Ann_gen_EP_02.pdf	15938	2021-09-14
GENCC_000106-HGNC_603-OMIM_615558-HP_0000007-GENCC_100002	HGNC:603	APOB	MONDO:0014252	familial hypobetalipoproteinemia 1	OMIM:615558	Hypobetalipoproteinemia	GENCC:100002	Strong	HP:0000007	AR	GENCC:000106	Labcorp Genetics (formerly Invitae)	HGNC:603	APOB	615558	Hypobetalipoproteinemia	0000007	Autosomal recessive	:000106	Invitae	GENCC:100002	Strong	2022-10-06 11:20:54			24288038	https://view.publitas.com/invitae/invitaeposter_nsgc2019_curatingthehumangenome/page/1	APOB0Hypobetalipopro02	2023-11-30
GENCC_000106-HGNC_603-OMIM_144010-HP_0000006-GENCC_100002	HGNC:603	APOB	MONDO:0007751	hypercholesterolemia, autosomal dominant, type B	OMIM:144010	Hypercholesterolemia, familial, 2	GENCC:100002	Strong	HP:0000006	AD	GENCC:000106	Labcorp Genetics (formerly Invitae)	HGNC:603	APOB	144010	hypercholesterolemia, autosomal dominant, type B	0000006	Autosomal dominant	:000106	Invitae	GENCC:100002	Strong	2022-10-06 11:32:39			20145306, 20506408, 20828696, 21376320, 22698793, 23776352	https://view.publitas.com/invitae/invitaeposter_nsgc2019_curatingthehumangenome/page/1	APOB0FamHypercholest	2023-11-30
GENCC_000106-HGNC_603-OMIM_615558-HP_0000006-GENCC_100002	HGNC:603	APOB	MONDO:0014252	familial hypobetalipoproteinemia 1	OMIM:615558	Hypobetalipoproteinemia	GENCC:100002	Strong	HP:0000006	AD	GENCC:000106	Labcorp Genetics (formerly Invitae)	HGNC:603	APOB	615558	familial hypobetalipoproteinemia 1	0000006	Autosomal dominant	:000106	Invitae	GENCC:100002	Strong	2022-10-06 11:20:54			17570373, 20032471, 22855658	https://view.publitas.com/invitae/invitaeposter_nsgc2019_curatingthehumangenome/page/1	APOB0Hypobetalipopro	2023-11-30
GENCC_000102-HGNC_603-MONDO_0007751-HP_0000006-GENCC_100001	HGNC:603	APOB	MONDO:0007751	hypercholesterolemia, autosomal dominant, type B	MONDO:0007751	hypercholesterolemia, autosomal dominant, type B	GENCC:100001	Definitive	HP:0000006	AD	GENCC:000102	ClinGen	HGNC:603	APOB	MONDO:0007751	hypercholesterolemia, autosomal dominant, type B	0000006	Autosomal dominant	:000102	ClinGen	GENCC:100001	Definitive	2018-11-14 18:00:00	https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_1c26b83b-409e-47c7-9c53-6ca79472d6fc-2018-11-14T180000.000Z			https://www.clinicalgenome.org/docs/?doc-type=curation-activity-procedures&curation-procedure=gene-disease-validity	1c26b83b-409e-47c7-9c53-6ca79472d6fc	2024-04-21
GENCC_000102-HGNC_603-MONDO_0014252-HP_0032113-GENCC_100001	HGNC:603	APOB	MONDO:0014252	familial hypobetalipoproteinemia 1	MONDO:0014252	familial hypobetalipoproteinemia 1	GENCC:100001	Definitive	HP:0032113	Semidominant	GENCC:000102	ClinGen	HGNC:603	APOB	MONDO:0014252	familial hypobetalipoproteinemia 1	0032113	Semidominant	:000102	ClinGen	GENCC:100001	Definitive	2020-02-26 17:00:00	https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_e7382aae-83d5-4a23-b1fe-e3d6acea8584-2020-02-26T170000.000Z			https://www.clinicalgenome.org/docs/?doc-type=curation-activity-procedures&curation-procedure=gene-disease-validity	e7382aae-83d5-4a23-b1fe-e3d6acea8584	2024-04-21
GENCC_000112-HGNC_603-OMIM_144010-HP_0000006-GENCC_100001	HGNC:603	APOB	MONDO:0007751	hypercholesterolemia, autosomal dominant, type B	OMIM:144010	Hypercholesterolemia, familial, 2	GENCC:100001	Definitive	HP:0000006	AD	GENCC:000112	G2P	HGNC:603	APOB	144010	APOB-related hypercholesterolaemia	0000006	monoallelic_autosomal	:000112	TGMI G2P	GENCC:100001	definitive	2019-09-16 00:00:00	https://www.ebi.ac.uk/gene2phenotype/gfd?dbID=4171		7883971	https://www.ebi.ac.uk/gene2phenotype/terminology	100011204171	2025-01-17
