DGI.gene_claim_name	DGI.gene_concept_id	DGI.gene_name	DGI.interaction_source_db_name	DGI.interaction_source_db_version	DGI.interaction_type	DGI.interaction_score	DGI.drug_claim_name	DGI.drug_concept_id	DGI.drug_name	DGI.approved	DGI.immunotherapy	DGI.anti_neoplastic
BRCA2	hgnc:1101	BRCA2	CGI	2/1/22	NULL	NULL	Platinum Agent	NULL	NULL	NULL	NULL	NULL
BRCA2	hgnc:1101	BRCA2	CGI	2/1/22	NULL	0.3860858179095183	Veliparib	ncit:C60768	VELIPARIB	FALSE	FALSE	TRUE
BRCA2	hgnc:1101	BRCA2	CGI	2/1/22	NULL	0.021301287	Cisplatin	rxcui:2555	CISPLATIN	TRUE	FALSE	TRUE
NCBIGENE:675	hgnc:1101	BRCA2	GuideToPharmacology	2024.1	inhibitor	0.7721716358190367	IUPHAR.LIGAND:12466	iuphar.ligand:12466	6-METHYLFLAVONE	FALSE	FALSE	FALSE
NCBIGENE:675	hgnc:1101	BRCA2	GuideToPharmacology	2024.1	agonist	0.7721716358190367	IUPHAR.LIGAND:10298	iuphar.ligand:10298	NARINGENIN	FALSE	FALSE	FALSE
BRCA2	hgnc:1101	BRCA2	CIViC	10-Apr-24	NULL	0.3509871071904712	RUCAPARIB	rxcui:1862579	RUCAPARIB	TRUE	FALSE	TRUE
NCBIGENE:675	hgnc:1101	BRCA2	GuideToPharmacology	2024.1	agonist	0.7721716358190367	IUPHAR.LIGAND:5215	iuphar.ligand:5215	LUTEOLIN	FALSE	FALSE	FALSE
BRCA2	hgnc:1101	BRCA2	PharmGKB	4/5/24	NULL	0.2287915957982331	talazoparib	rxcui:2099704	TALAZOPARIB	TRUE	FALSE	TRUE
BRCA2	hgnc:1101	BRCA2	CIViC	10-Apr-24	NULL	0.021301287	CISPLATIN	rxcui:2555	CISPLATIN	TRUE	FALSE	TRUE
BRCA2	hgnc:1101	BRCA2	CIViC	10-Apr-24	NULL	0.016605842	GEMCITABINE	rxcui:12574	GEMCITABINE	TRUE	FALSE	TRUE
BRCA2	hgnc:1101	BRCA2	CIViC	10-Apr-24	NULL	0.077217164	TEMOZOLOMIDE	rxcui:37776	TEMOZOLOMIDE	TRUE	FALSE	TRUE
BRCA2	hgnc:1101	BRCA2	CIViC	10-Apr-24	NULL	0.1187956362798518	ENZALUTAMIDE	rxcui:1307298	ENZALUTAMIDE	TRUE	FALSE	TRUE
BRCA2	hgnc:1101	BRCA2	ClearityFoundationBiomarkers	26-Jul-13	NULL	0.3088686543276147	E7449	ncit:C102746	PARP/TANKYRASE INHIBITOR 2X-121	FALSE	FALSE	TRUE
NCBIGENE:675	hgnc:1101	BRCA2	GuideToPharmacology	2024.1	agonist	0.3088686543276147	IUPHAR.LIGAND:12462	iuphar.ligand:12462	EPICATECHIN GALLATE	FALSE	FALSE	FALSE
NCBIGENE:675	hgnc:1101	BRCA2	GuideToPharmacology	2024.1	agonist	0.026626608	IUPHAR.LIGAND:2826	rxcui:25696	GENISTEIN	TRUE	FALSE	FALSE
BRCA2	hgnc:1101	BRCA2	ClearityFoundationBiomarkers	26-Jul-13	NULL	0.2287915957982331	BMN673	rxcui:2099704	TALAZOPARIB	TRUE	FALSE	TRUE
BRCA2	hgnc:1101	BRCA2	ClearityFoundationBiomarkers	26-Jul-13	NULL	0.3860858179095183	VELIPARIB	ncit:C60768	VELIPARIB	FALSE	FALSE	TRUE
