GenCC.uuid	GenCC.gene_curie	GenCC.Gene	GenCC.disease_curie	GenCC.disease_title	GenCC.disease_original_curie	GenCC.disease_original_title	GenCC.classification_curie	GenCC.classification_title	GenCC.moi_curie	GenCC.Inheritance	GenCC.submitter_curie	GenCC.submitter_title	GenCC.submitted_as_hgnc_id	GenCC.submitted_as_hgnc_symbol	GenCC.OMIM	GenCC.Disease	GenCC.MOI	GenCC.submitted_as_moi_name	GenCC.GENCC	GenCC.Submiiter	GenCC.submitted_as_classification_id	GenCC.Classification	GenCC.submitted_as_date	GenCC.submitted_as_public_report_url	GenCC.submitted_as_notes	GenCC.submitted_as_pmids	GenCC.submitted_as_assertion_criteria_url	GenCC.submitted_as_submission_id	GenCC.submitted_run_date
GENCC_000104-HGNC_1101-MONDO_0005089-HP_0000006-GENCC_100003	HGNC:1101	BRCA2	MONDO:0005089	sarcoma	MONDO:0005089	sarcoma	GENCC:100003	Moderate	HP:0000006	AD	GENCC:000104	Genomics England PanelApp	HGNC:1101	BRCA2	MONDO:0005089	SARCOMA	0000006	Autosomal dominant inheritance	:000104	Genomics England PanelApp	GENCC:100003	Moderate	2021-02-11 13:01:35	https://panelapp.genomicsengland.co.uk/panels/734		17224268, 27498913		000104.pa734.v1.11.hgnc:1101.m1.p1	2021-03-31
GENCC_000104-HGNC_1101-OMIM_612555-HP_0000006-GENCC_100002	HGNC:1101	BRCA2	MONDO:0012933	breast-ovarian cancer, familial, susceptibility to, 2	OMIM:612555	{Breast-ovarian cancer, familial, 2}	GENCC:100002	Strong	HP:0000006	AD	GENCC:000104	Genomics England PanelApp	HGNC:1101	BRCA2	612555	{BREAST-OVARIAN CANCER, FAMILIAL, 2}, 612555	0000006	Autosomal dominant inheritance	:000104	Genomics England PanelApp	GENCC:100002	Strong	2020-10-27 13:01:40	https://panelapp.genomicsengland.co.uk/panels/143				000104.pa143.v2.5.hgnc:1101.m1.p1	2021-03-31
GENCC_000104-HGNC_1101-OMIM_613347-HP_0000006-GENCC_100002	HGNC:1101	BRCA2	MONDO:0013235	pancreatic cancer, susceptibility to, 2	OMIM:613347	{Pancreatic cancer 2}	GENCC:100002	Strong	HP:0000006	AD	GENCC:000104	Genomics England PanelApp	HGNC:1101	BRCA2	613347	{Pancreatic cancer 2}	0000006	Autosomal dominant inheritance	:000104	Genomics England PanelApp	GENCC:100002	Strong	2020-03-04 13:01:42	https://panelapp.genomicsengland.co.uk/panels/524		30558719		000104.pa524.v1.4.hgnc:1101.m1.p1	2021-03-31
GENCC_000101-HGNC_1101-OMIM_612555-HP_0000006-GENCC_100001	HGNC:1101	BRCA2	MONDO:0012933	breast-ovarian cancer, familial, susceptibility to, 2	OMIM:612555	{Breast-ovarian cancer, familial, 2}	GENCC:100001	Definitive	HP:0000006	AD	GENCC:000101	Ambry Genetics	HGNC:1101	BRCA2	612555	Breast-ovarian cancer, familial, 2	0000006	Autosomal dominant inheritance	:000101	Ambry Genetics	GENCC:100001	Definitive	2018-08-30 13:33:18				PMID: 28106320	147	2021-03-02
GENCC_000101-HGNC_1101-OMIM_605724-HP_0000007-GENCC_100001	HGNC:1101	BRCA2	MONDO:0011584	Fanconi anemia complementation group D1	OMIM:605724	Fanconi anemia, complementation group D1	GENCC:100001	Definitive	HP:0000007	AR	GENCC:000101	Ambry Genetics	HGNC:1101	BRCA2	605724	Fanconi anemia, complementation group D1	0000007	Autosomal recessive inheritance	:000101	Ambry Genetics	GENCC:100001	Definitive	2016-08-19 00:00:00				PMID: 28106320	147	2021-03-02
GENCC_000110-HGNC_1101-Orphanet_84-HP_0000007-GENCC_100009	HGNC:1101	BRCA2	MONDO:0019391	Fanconi anemia	Orphanet:84	Orphanet:84	GENCC:100009	Supportive	HP:0000007	AR	GENCC:000110	Orphanet	HGNC:1101	BRCA2	Orphanet:84	Fanconi anemia	0000007	Autosomal recessive inheritance	:000110	Orphanet	GENCC:100009	Supportive	2021-09-14 00:00:00			20301575[PMID]	https://www.orpha.net/orphacom/cahiers/docs/GB/Orphanet_Genes_inventory_R1_Ann_gen_EP_02.pdf	15378	2021-09-14
GENCC_000110-HGNC_1101-Orphanet_145-HP_0000006-GENCC_100009	HGNC:1101	BRCA2	MONDO:0003582	hereditary breast ovarian cancer syndrome	Orphanet:145	Orphanet:145	GENCC:100009	Supportive	HP:0000006	AD	GENCC:000110	Orphanet	HGNC:1101	BRCA2	Orphanet:145	Hereditary breast and ovarian cancer syndrome	0000006	Autosomal dominant inheritance	:000110	Orphanet	GENCC:100009	Supportive	2021-09-14 00:00:00			16112002[PMID]_20301425[PMID]	https://www.orpha.net/orphacom/cahiers/docs/GB/Orphanet_Genes_inventory_R1_Ann_gen_EP_02.pdf	15378	2021-09-14
GENCC_000106-HGNC_1101-OMIM_605724-HP_0000007-GENCC_100002	HGNC:1101	BRCA2	MONDO:0011584	Fanconi anemia complementation group D1	OMIM:605724	Fanconi anemia, complementation group D1	GENCC:100002	Strong	HP:0000007	AR	GENCC:000106	Labcorp Genetics (formerly Invitae)	HGNC:1101	BRCA2	605724	Fanconi anemia complementation group D1	0000007	Autosomal recessive	:000106	Invitae	GENCC:100002	Strong	2023-05-11 18:50:08			12065746, 12228710, 14670928, 16998503, 17476307, 20104584	https://view.publitas.com/invitae/invitaeposter_nsgc2019_curatingthehumangenome/page/1	BRCA20Fanconi	2023-11-30
GENCC_000106-HGNC_1101-OMIM_612555-HP_0000006-GENCC_100002	HGNC:1101	BRCA2	MONDO:0012933	breast-ovarian cancer, familial, susceptibility to, 2	OMIM:612555	{Breast-ovarian cancer, familial, 2}	GENCC:100002	Strong	HP:0000006	AD	GENCC:000106	Labcorp Genetics (formerly Invitae)	HGNC:1101	BRCA2	612555	breast-ovarian cancer, familial, susceptibility to, 2	0000006	Autosomal dominant	:000106	Invitae	GENCC:100002	Strong	2023-06-08 19:50:51			10433620, 12114473, 12228710, 12373604, 12677558, 14576434, 15131399, 15197194, 16978908, 16998503, 17416853, 17476307, 18042939, 20104584, 20418484, 20459916, 20587410, 21598239, 22187320, 22678057, 23099806, 23135763, 23628597, 25849179, 26182300, 26236408, 26700119, 27306910, 28632866, 29025585, 29753700, 29922827, 30507471, 31608315, 32676552, 8091231, 8644738, 8751855, 9497246	https://view.publitas.com/invitae/invitaeposter_nsgc2019_curatingthehumangenome/page/1	BRCA20HBOC	2023-11-30
GENCC_000102-HGNC_1101-MONDO_0012933-HP_0000006-GENCC_100001	HGNC:1101	BRCA2	MONDO:0012933	breast-ovarian cancer, familial, susceptibility to, 2	MONDO:0012933	breast-ovarian cancer, familial, susceptibility to, 2	GENCC:100001	Definitive	HP:0000006	AD	GENCC:000102	ClinGen	HGNC:1101	BRCA2	MONDO:0012933	breast-ovarian cancer, familial, susceptibility to, 2	0000006	Autosomal dominant	:000102	ClinGen	GENCC:100001	Definitive	2017-09-13 00:00:00	https://search.clinicalgenome.org/kb/gene-validity/CGGCIEX:assertion_8397			https://www.clinicalgenome.org/docs/?doc-type=curation-activity-procedures&curation-procedure=gene-disease-validity	8397	2024-04-21
