ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	Type
GO:1901988	negative regulation of cell cycle phase transition	7/41	277/18870	1,99744E-06	0,003094042	0,002352779	675/4436/11200/83990/672/1030/51339	7	BP
GO:0010948	negative regulation of cell cycle process	7/41	320/18870	5,1761E-06	0,003911577	0,002974452	675/4436/11200/83990/672/1030/51339	7	BP
GO:0000077	DNA damage checkpoint signaling	5/41	126/18870	7,57568E-06	0,003911577	0,002974452	675/4436/11200/83990/672	5	BP
GO:0031570	DNA integrity checkpoint signaling	5/41	135/18870	1,06016E-05	0,00410546	0,003121885	675/4436/11200/83990/672	5	BP
GO:0045786	negative regulation of cell cycle	7/41	407/18870	2,46156E-05	0,007625901	0,005798908	675/4436/11200/83990/672/1030/51339	7	BP
GO:0000280	nuclear division	7/41	441/18870	4,10547E-05	0,008924995	0,006786769	675/11200/83990/9055/57697/51759/5159	7	BP
GO:0006302	double-strand break repair	6/41	307/18870	4,91626E-05	0,008924995	0,006786769	675/4436/11200/83990/672/57697	6	BP
GO:1901987	regulation of cell cycle phase transition	7/41	456/18870	5,07412E-05	0,008924995	0,006786769	675/4436/11200/83990/672/1030/51339	7	BP
GO:0042770	signal transduction in response to DNA damage	5/41	189/18870	5,34647E-05	0,008924995	0,006786769	675/4436/11200/83990/672	5	BP
GO:0000075	cell cycle checkpoint signaling	5/41	192/18870	5,76178E-05	0,008924995	0,006786769	675/4436/11200/83990/672	5	BP
GO:0008630	intrinsic apoptotic signaling pathway in response to DNA damage	4/41	102/18870	6,98766E-05	0,0098399	0,007482483	675/4436/11200/672	4	BP
GO:0048285	organelle fission	7/41	488/18870	7,77556E-05	0,010036952	0,007632326	675/11200/83990/9055/57697/51759/5159	7	BP
GO:0042771	intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator	3/41	44/18870	0,000118521	0,014122227	0,010738862	675/4436/11200	3	BP
GO:0031297	replication fork processing	3/41	49/18870	0,000163639	0,017920276	0,013626984	675/672/57697	3	BP
GO:0007127	meiosis I	4/41	129/18870	0,000173534	0,017920276	0,013626984	675/83990/57697/51759	4	BP
GO:0045930	negative regulation of mitotic cell cycle	5/41	248/18870	0,00019178	0,01856666	0,014118509	4436/11200/672/1030/51339	5	BP
GO:0061982	meiosis I cell cycle process	4/41	136/18870	0,00021256	0,018868358	0,014347927	675/83990/57697/51759	4	BP
GO:0010212	response to ionizing radiation	4/41	138/18870	0,000224783	0,018868358	0,014347927	675/4436/11200/672	4	BP
GO:0140694	non-membrane-bounded organelle assembly	6/41	408/18870	0,000233346	0,018868358	0,014347927	11200/672/9055/5159/64147/9924	6	BP
GO:0045005	DNA-templated DNA replication maintenance of fidelity	3/41	56/18870	0,00024362	0,018868358	0,014347927	675/672/57697	3	BP
GO:0035825	homologous recombination	3/41	68/18870	0,000432559	0,031906361	0,024262321	83990/672/57697	3	BP
