ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa04510	Focal adhesion	23/311	203/9397	2.27496921029027e-07	7.32540085713467e-05	5.89097290243585e-05	5159/3914/1729/7410/3910/859/7148/3908/2317/1950/3913/7450/5728/5894/331/7414/3479/3480/3673/1285/673/5649/1277	23
hsa05205	Proteoglycans in cancer	20/311	204/9397	1.31885870045233e-05	0.00212336250772825	0.0017075749490067	3710/2260/2065/4313/3339/7410/859/5894/3708/3236/6774/7157/3479/3480/7078/3673/8322/7097/673/1277	20
hsa04151	PI3K-Akt signaling pathway	28/311	362/9397	2.43614464379935e-05	0.00217295656039648	0.00174745771120475	672/2260/5159/2065/3914/3910/7148/3908/1950/2264/3913/7450/5728/5894/5979/7157/5105/3479/3566/3480/3673/3643/7097/1285/3455/3630/5649/1277	28
hsa04068	FoxO signaling pathway	15/311	133/9397	3.18092350299646e-05	0.00217295656039648	0.00174745771120475	1030/1950/5728/2033/5894/6774/7046/5105/3479/3480/6648/3643/51422/673/3630	15
hsa04512	ECM-receptor interaction	12/311	89/9397	3.37415614968397e-05	0.00217295656039648	0.00174745771120475	3914/3339/3910/7148/3908/3913/7450/341640/3673/1285/5649/1277	12
hsa04550	Signaling pathways regulating pluripotency of stem cells	15/311	144/9397	8.05153771755431e-05	0.00386147427937572	0.00310533727599355	2260/2103/2264/658/5894/4093/5080/6774/3479/3480/8322/3977/93/652/6926	15
hsa04820	Cytoskeleton in muscle cells	20/311	232/9397	8.39450930299069e-05	0.00386147427937572	0.00310533727599355	6712/84467/89/1729/1462/3339/5339/1301/7273/4703/1302/3908/23345/7414/27063/3673/7170/1285/1832/1277	20
hsa05218	Melanoma	10/311	73/9397	0.000133269763629249	0.00536410798607728	0.00431373182273622	2260/5159/999/1950/5728/5894/7157/3479/3480/673	10
hsa04950	Maturity onset diabetes of the young	6/311	26/9397	0.000164597077833339	0.0058889176735928	0.00473577557274871	6927/5078/5080/3172/6514/3630	6
hsa05165	Human papillomavirus infection	24/311	333/9397	0.000276321724665277	0.00889755953422191	0.00715527834396401	5159/4851/8717/3914/3910/7297/7148/3908/6772/1950/3913/7450/5728/2033/5894/7157/3673/6908/8322/1285/3455/5649/7337/1277	24
hsa05145	Toxoplasmosis	12/311	112/9397	0.000318325985904193	0.00930746655625549	0.00748491916586744	3123/3914/3910/7297/5606/3908/6772/3913/3127/6774/331/7097	12
