EpiGraphDB-expID	EpiGraphDB-outID	EpiGraphDB-outID_mrbase	EpiGraphDB-nsnp	EpiGraphDB-method	EpiGraphDB-beta	EpiGraphDB-se	EpiGraphDB-pvalue	EpiGraphDB-rsID
CCL27	Serum creatinine (eGFRcrea)	1105	1	Wald ratio	-0.013084112	0.004672897	0.005110261	rs2070074
CCL27	Cough on most days	UKB-a:258	1	Wald ratio	0.155086851	0.056066974	0.005673116	rs2070074
CCL27	Diagnoses - main ICD10: R10 Abdominal and pelvic pain	UKB-a:582	1	Wald ratio	0.145722521	0.053429038	0.006383502	rs2070074
CCL27	Non-cancer illness code  self-reported: sleep apnoea	UKB-a:69	1	Wald ratio	0.414548477	0.156528942	0.008087801	rs2070074
CCL27	Non-cancer illness code  self-reported: hypertension	UKB-a:61	1	Wald ratio	0.050824966	0.020680555	0.01398607	rs2070074
CCL27	Non-cancer illness code  self-reported: enlarged prostate	UKB-a:95	1	Wald ratio	0.216170293	0.088688898	0.014793317	rs2070074
CCL27	Body fat	999	1	Wald ratio	-0.069158879	0.028660436	0.015819932	rs2070074
CCL27	Alcohol intake frequency	UKB-a:25	1	Wald ratio	-0.045261371	0.018857757	0.016388532	rs2070074
CCL27	Birth weight	1084	1	Wald ratio	0.046728972	0.019937695	0.019090963	rs2070074
CCL27	Depressive symptoms	1000	1	Wald ratio	-0.043613707	0.018691589	0.019630657	rs2070074
CCL27	Systemic lupus erythematosus	815	1	Wald ratio	-0.5989118	0.259567303	0.021035492	rs2070074
CCL27	Non-cancer illness code  self-reported: hypothyroidism or myxoedema	UKB-a:77	1	Wald ratio	0.114991033	0.050690923	0.023300342	rs2070074
CCL27	Non-cancer illness code  self-reported: diverticular disease or diverticulitis	UKB-a:102	1	Wald ratio	0.220923091	0.097788871	0.023871917	rs2070074
CCL27	Large vessel disease	1110	1	Wald ratio	-0.404049844	0.181308411	0.025845704	rs2070074
CCL27	Diagnoses - main ICD10: K35 Acute appendicitis	UKB-a:548	1	Wald ratio	0.30019614	0.138892246	0.030667544	rs2070074
CCL27	Urinary albumin-to-creatinine ratio	1107	1	Wald ratio	0.07165109	0.034267913	0.036536214	rs2070074
CCL27	Non-cancer illness code  self-reported: migraine	UKB-a:78	1	Wald ratio	-0.179952781	0.089120191	0.043464931	rs2070074
CCL27	Small vessel disease	1111	1	Wald ratio	0.3894081	0.193146417	0.043786485	rs2070074
CCL27	Non-cancer illness code  self-reported: pernicious anaemia	UKB-a:90	1	Wald ratio	0.34600708	0.172362764	0.044703343	rs2070074
CCL27	Non-cancer illness code  self-reported: anxiety or panic attacks	UKB-a:82	1	Wald ratio	-0.309245518	0.154155492	0.044849603	rs2070074
CCL27	Fractured bone site(s): Other bones	UKB-a:441	1	Wald ratio	-0.122226362	0.063012872	0.052415591	rs2070074
CCL27	Hippocampus volume	1045	1	Wald ratio	-50.10373832	26.2165109	0.055985045	rs2070074
CCL27	Fasting glucose	773	1	Wald ratio	0.031152648	0.016510903	0.059188247	rs2070074
CCL27	Lung cancer	966	1	Wald ratio	-0.182980446	0.097856698	0.061500251	rs2070074
CCL27	Knee osteoarthritis	1171	1	Wald ratio	0.259755791	0.146468083	0.076151944	rs2070074
CCL27	Mean cell haemoglobin concentration	272	1	Wald ratio	0.034579439	0.019626168	0.07808539	rs2070074
CCL27	Age at menopause	1004	1	Wald ratio	0.218068536	0.124610592	0.080118314	rs2070074
CCL27	Fractured or broken bones in last 5 years	UKB-a:308	1	Wald ratio	-0.074966302	0.042986195	0.081165675	rs2070074
CCL27	Body mass index (BMI)	UKB-a:248	1	Wald ratio	0.022167352	0.012750935	0.08212479	rs2070074
CCL27	Packed cell volume	274	1	Wald ratio	-0.165109034	0.096573209	0.087325541	rs2070074
CCL27	Vascular or heart problems diagnosed by doctor: Angina	UKB-a:436	1	Wald ratio	0.110032752	0.064373066	0.087395767	rs2070074
CCL27	Pancreatic cancer	822	1	Wald ratio	-0.424269017	0.251185903	0.091207204	rs2070074
CCL27	Diagnoses - main ICD10: D25 Leiomyoma of uterus	UKB-a:522	1	Wald ratio	-0.247078033	0.148043345	0.095125828	rs2070074
CCL27	Clear cell ovarian cancer	1124	1	Wald ratio	-0.349221184	0.21046729	0.097062236	rs2070074
CCL27	Microalbuminuria	1097	1	Wald ratio	0.190031153	0.115264798	0.099219636	rs2070074
CCL27	Non-cancer illness code  self-reported: asthma	UKB-a:66	1	Wald ratio	0.055640109	0.033843226	0.100164939	rs2070074
CCL27	Non-cancer illness code  self-reported: psoriasis	UKB-a:100	1	Wald ratio	0.167472008	0.102877425	0.103550527	rs2070074
CCL27	Knee and hip osteoarthritis	1170	1	Wald ratio	0.192758267	0.118580646	0.10404632	rs2070074
CCL27	HOMA-B	770	1	Wald ratio	-0.027725857	0.017133956	0.10562342	rs2070074
CCL27	Diagnoses - main ICD10: H25 Senile cataract	UKB-a:529	1	Wald ratio	0.19207799	0.122193721	0.115970558	rs2070074
CCL27	Diagnoses - main ICD10: S66 Injury of muscle and tendon at wrist and hand level	UKB-a:591	1	Wald ratio	0.366094526	0.23695385	0.122345418	rs2070074
CCL27	Serum cystatin C (eGFRcys)	1106	1	Wald ratio	-0.015264798	0.009968847	0.125707618	rs2070074
CCL27	Forced expiratory volume in 1-second (FEV1)	UKB-a:337	1	Wald ratio	-0.016752991	0.011044143	0.129288969	rs2070074
CCL27	Lung adenocarcinoma	965	1	Wald ratio	-0.227705253	0.151685358	0.133312034	rs2070074
CCL27	Diagnoses - main ICD10: K80 Cholelithiasis	UKB-a:559	1	Wald ratio	0.116390112	0.079659245	0.143988038	rs2070074
CCL27	Non-cancer illness code  self-reported: chronic obstructive airways disease or copd	UKB-a:67	1	Wald ratio	0.253922148	0.176067758	0.149250401	rs2070074
CCL27	Chronic kidney disease	1102	1	Wald ratio	0.115264798	0.080996885	0.154713857	rs2070074
CCL27	Pallidum volume	1046	1	Wald ratio	15.46978193	10.89221184	0.155531757	rs2070074
CCL27	Forced vital capacity (FVC)	UKB-a:336	1	Wald ratio	-0.014670561	0.010471402	0.161210454	rs2070074
CCL27	Childhood intelligence	16	1	Wald ratio	-0.095950156	0.068847352	0.163418742	rs2070074
