Gene	TPM	Tissue	Source
BRCA1	0.651777	adipose_subcutaneous	GTEx.v10
BRCA1	1.63123	adipose_subcutaneous	GTEx.v10
BRCA1	2.1108	adipose_subcutaneous	GTEx.v10
BRCA1	1.14823	adipose_subcutaneous	GTEx.v10
BRCA1	0.933525	adipose_subcutaneous	GTEx.v10
BRCA1	1.0922	adipose_subcutaneous	GTEx.v10
BRCA1	1.69462	adipose_subcutaneous	GTEx.v10
BRCA1	2.02003	adipose_subcutaneous	GTEx.v10
BRCA1	2.29779	adipose_subcutaneous	GTEx.v10
BRCA1	1.44363	adipose_subcutaneous	GTEx.v10
BRCA1	0.913494	adipose_subcutaneous	GTEx.v10
BRCA1	1.29558	adipose_subcutaneous	GTEx.v10
BRCA1	1.5559	adipose_subcutaneous	GTEx.v10
BRCA1	1.01906	adipose_subcutaneous	GTEx.v10
BRCA1	1.79244	adipose_subcutaneous	GTEx.v10
BRCA1	1.07916	adipose_subcutaneous	GTEx.v10
BRCA1	1.15289	adipose_subcutaneous	GTEx.v10
BRCA1	2.67795	adipose_subcutaneous	GTEx.v10
BRCA1	1.30418	adipose_subcutaneous	GTEx.v10
BRCA1	2.03348	adipose_subcutaneous	GTEx.v10
BRCA1	1.27306	adipose_subcutaneous	GTEx.v10
BRCA1	1.1332	adipose_subcutaneous	GTEx.v10
BRCA1	1.31764	adipose_subcutaneous	GTEx.v10
BRCA1	1.15299	adipose_subcutaneous	GTEx.v10
BRCA1	1.83864	adipose_subcutaneous	GTEx.v10
BRCA1	2.07356	adipose_subcutaneous	GTEx.v10
BRCA1	2.13444	adipose_subcutaneous	GTEx.v10
BRCA1	1.29374	adipose_subcutaneous	GTEx.v10
BRCA1	1.59516	adipose_subcutaneous	GTEx.v10
BRCA1	1.96611	adipose_subcutaneous	GTEx.v10
BRCA1	1.1593	adipose_subcutaneous	GTEx.v10
BRCA1	2.2446	adipose_subcutaneous	GTEx.v10
BRCA1	0.823476	adipose_subcutaneous	GTEx.v10
BRCA1	1.56293	adipose_subcutaneous	GTEx.v10
BRCA1	0.472584	adipose_subcutaneous	GTEx.v10
BRCA1	1.78554	adipose_subcutaneous	GTEx.v10
BRCA1	0.705499	adipose_subcutaneous	GTEx.v10
BRCA1	1.83028	adipose_subcutaneous	GTEx.v10
BRCA1	1.15221	adipose_subcutaneous	GTEx.v10
BRCA1	1.69953	adipose_subcutaneous	GTEx.v10
BRCA1	1.36995	adipose_subcutaneous	GTEx.v10
BRCA1	1.19112	adipose_subcutaneous	GTEx.v10
BRCA1	1.65172	adipose_subcutaneous	GTEx.v10
BRCA1	1.94645	adipose_subcutaneous	GTEx.v10
BRCA1	1.51418	adipose_subcutaneous	GTEx.v10
BRCA1	1.49209	adipose_subcutaneous	GTEx.v10
BRCA1	1.56977	adipose_subcutaneous	GTEx.v10
BRCA1	1.52719	adipose_subcutaneous	GTEx.v10
BRCA1	1.39577	adipose_subcutaneous	GTEx.v10
BRCA1	2.02006	adipose_subcutaneous	GTEx.v10
BRCA1	1.14525	adipose_subcutaneous	GTEx.v10
BRCA1	0.887087	adipose_subcutaneous	GTEx.v10
BRCA1	0.256052	adipose_subcutaneous	GTEx.v10
BRCA1	1.02765	adipose_subcutaneous	GTEx.v10
BRCA1	1.75787	adipose_subcutaneous	GTEx.v10
BRCA1	1.78981	adipose_subcutaneous	GTEx.v10
BRCA1	0.912953	adipose_subcutaneous	GTEx.v10
BRCA1	1.67005	adipose_subcutaneous	GTEx.v10
BRCA1	1.53039	adipose_subcutaneous	GTEx.v10
BRCA1	2.50707	adipose_subcutaneous	GTEx.v10
