GenCC.uuid	GenCC.gene_curie	GenCC.Gene	GenCC.disease_curie	GenCC.disease_title	GenCC.disease_original_curie	GenCC.disease_original_title	GenCC.classification_curie	GenCC.classification_title	GenCC.moi_curie	GenCC.Inheritance	GenCC.submitter_curie	GenCC.submitter_title	GenCC.submitted_as_hgnc_id	GenCC.submitted_as_hgnc_symbol	GenCC.OMIM	GenCC.Disease	GenCC.MOI	GenCC.submitted_as_moi_name	GenCC.GENCC	GenCC.Submiiter	GenCC.submitted_as_classification_id	GenCC.Classification	GenCC.submitted_as_date	GenCC.submitted_as_public_report_url	GenCC.submitted_as_notes	GenCC.submitted_as_pmids	GenCC.submitted_as_assertion_criteria_url	GenCC.submitted_as_submission_id	GenCC.submitted_run_date
GENCC_000104-HGNC_1100-OMIM_604370-HP_0000006-GENCC_100002	HGNC:1100	BRCA1	MONDO:0011450	breast-ovarian cancer, familial, susceptibility to, 1	OMIM:604370	{Breast-ovarian cancer, familial, 1}	GENCC:100002	Strong	HP:0000006	AD	GENCC:000104	Genomics England PanelApp	HGNC:1100	BRCA1	604370	{BREAST-OVARIAN CANCER, FAMILIAL, 1}, 604370	0000006	Autosomal dominant inheritance	:000104	Genomics England PanelApp	GENCC:100002	Strong	2020-10-27 13:01:40	https://panelapp.genomicsengland.co.uk/panels/143				000104.pa143.v2.5.hgnc:1100.m1.p1	2021-03-31
GENCC_000104-HGNC_1100-OMIM_614320-HP_0000006-GENCC_100003	HGNC:1100	BRCA1	MONDO:0013685	pancreatic cancer, susceptibility to, 4	OMIM:614320	{Pancreatic cancer, susceptibility to, 4}	GENCC:100003	Moderate	HP:0000006	AD	GENCC:000104	Genomics England PanelApp	HGNC:1100	BRCA1	614320	{Pancreatic cancer, susceptibility to, 4}	0000006	Autosomal dominant inheritance	:000104	Genomics England PanelApp	GENCC:100003	Moderate	2020-03-04 13:01:43	https://panelapp.genomicsengland.co.uk/panels/524		30558719		000104.pa524.v1.4.hgnc:1100.m1.p1	2021-03-31
GENCC_000101-HGNC_1100-OMIM_604370-HP_0000006-GENCC_100001	HGNC:1100	BRCA1	MONDO:0011450	breast-ovarian cancer, familial, susceptibility to, 1	OMIM:604370	{Breast-ovarian cancer, familial, 1}	GENCC:100001	Definitive	HP:0000006	AD	GENCC:000101	Ambry Genetics	HGNC:1100	BRCA1	604370	Breast-ovarian cancer, familial, 1	0000006	Autosomal dominant inheritance	:000101	Ambry Genetics	GENCC:100001	Definitive	2018-08-30 13:33:17				PMID: 28106320	146	2021-03-02
GENCC_000101-HGNC_1100-OMIM_617883-HP_0000007-GENCC_100003	HGNC:1100	BRCA1	MONDO:0054748	Fanconi anemia, complementation group S	OMIM:617883	Fanconi anemia, complementation group S	GENCC:100003	Moderate	HP:0000007	AR	GENCC:000101	Ambry Genetics	HGNC:1100	BRCA1	617883	Fanconi anemia, complementation group S	0000007	Autosomal recessive inheritance	:000101	Ambry Genetics	GENCC:100003	Moderate	2019-03-07 13:33:18				PMID: 28106320	146	2021-03-02
GENCC_000110-HGNC_1100-Orphanet_84-HP_0000007-GENCC_100009	HGNC:1100	BRCA1	MONDO:0019391	Fanconi anemia	Orphanet:84	Orphanet:84	GENCC:100009	Supportive	HP:0000007	AR	GENCC:000110	Orphanet	HGNC:1100	BRCA1	Orphanet:84	Fanconi anemia	0000007	Autosomal recessive inheritance	:000110	Orphanet	GENCC:100009	Supportive	2021-09-14 00:00:00			29133208[PMID]	https://www.orpha.net/orphacom/cahiers/docs/GB/Orphanet_Genes_inventory_R1_Ann_gen_EP_02.pdf	15377	2021-09-14
GENCC_000110-HGNC_1100-Orphanet_145-HP_0000006-GENCC_100009	HGNC:1100	BRCA1	MONDO:0003582	hereditary breast ovarian cancer syndrome	Orphanet:145	Orphanet:145	GENCC:100009	Supportive	HP:0000006	AD	GENCC:000110	Orphanet	HGNC:1100	BRCA1	Orphanet:145	Hereditary breast and ovarian cancer syndrome	0000006	Autosomal dominant inheritance	:000110	Orphanet	GENCC:100009	Supportive	2021-09-14 00:00:00			16112002[PMID]_20301425[PMID]	https://www.orpha.net/orphacom/cahiers/docs/GB/Orphanet_Genes_inventory_R1_Ann_gen_EP_02.pdf	15377	2021-09-14
GENCC_000106-HGNC_1100-OMIM_617883-HP_0000007-GENCC_100004	HGNC:1100	BRCA1	MONDO:0054748	Fanconi anemia, complementation group S	OMIM:617883	Fanconi anemia, complementation group S	GENCC:100004	Limited	HP:0000007	AR	GENCC:000106	Labcorp Genetics (formerly Invitae)	HGNC:1100	BRCA1	617883	Fanconi anemia, complementation group S	0000007	Autosomal recessive	:000106	Invitae	GENCC:100004	Limited	2020-09-22 15:02:06			23269703, 25472942, 29712865	https://view.publitas.com/invitae/invitaeposter_nsgc2019_curatingthehumangenome/page/1	BRCA10Fanconi	2023-11-30
GENCC_000106-HGNC_1100-OMIM_604370-HP_0000006-GENCC_100002	HGNC:1100	BRCA1	MONDO:0011450	breast-ovarian cancer, familial, susceptibility to, 1	OMIM:604370	{Breast-ovarian cancer, familial, 1}	GENCC:100002	Strong	HP:0000006	AD	GENCC:000106	Labcorp Genetics (formerly Invitae)	HGNC:1100	BRCA1	604370	breast-ovarian cancer, familial, susceptibility to, 1	0000006	Autosomal dominant	:000106	Invitae	GENCC:100002	Strong	2023-05-22 21:18:52			10433620, 11358863, 12677558, 14576434, 15197194, 16998503, 17416853, 18042939, 19261749, 20104584, 20418484, 21520273, 21725363, 22187320, 22753008, 22843421, 23099806, 23628597, 24569164, 25224030, 25524463, 25849179, 26700119, 27008870, 27306910, 28632866, 29922827, 29988077, 30287823, 30623411, 30832263, 30900310, 31131967, 32053139, 32335146, 32349445, 32676552, 7907678, 8460634, 8460636, 8751855	https://view.publitas.com/invitae/invitaeposter_nsgc2019_curatingthehumangenome/page/1	BRCA10HBOC	2023-11-30
GENCC_000102-HGNC_1100-MONDO_0011450-HP_0000006-GENCC_100001	HGNC:1100	BRCA1	MONDO:0011450	breast-ovarian cancer, familial, susceptibility to, 1	MONDO:0011450	breast-ovarian cancer, familial, susceptibility to, 1	GENCC:100001	Definitive	HP:0000006	AD	GENCC:000102	ClinGen	HGNC:1100	BRCA1	MONDO:0011450	breast-ovarian cancer, familial, susceptibility to, 1	0000006	Autosomal dominant	:000102	ClinGen	GENCC:100001	Definitive	2017-09-13 00:00:00	https://search.clinicalgenome.org/kb/gene-validity/CGGCIEX:assertion_9972			https://www.clinicalgenome.org/docs/?doc-type=curation-activity-procedures&curation-procedure=gene-disease-validity	9972	2024-04-21
GENCC_000102-HGNC_1100-MONDO_0054748-HP_0000007-GENCC_100001	HGNC:1100	BRCA1	MONDO:0054748	Fanconi anemia, complementation group S	MONDO:0054748	Fanconi anemia, complementation group S	GENCC:100001	Definitive	HP:0000007	AR	GENCC:000102	ClinGen	HGNC:1100	BRCA1	MONDO:0054748	Fanconi anemia, complementation group S	0000007	Autosomal recessive	:000102	ClinGen	GENCC:100001	Definitive	2020-05-14 00:31:37	https://search.clinicalgenome.org/kb/gene-validity/CGGV:assertion_aa39798d-9b6e-430d-8bc1-2a01f81f1f72-2020-05-14T003137.538Z			https://www.clinicalgenome.org/docs/?doc-type=curation-activity-procedures&curation-procedure=gene-disease-validity	aa39798d-9b6e-430d-8bc1-2a01f81f1f72	2024-04-21
