ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	Source
GO:0016528	sarcoplasm	6/193	93/19886	0.000292617312844201	0.0839811687862856	0.0822408658204227	AKAP6/JPH2/P3H2/CAMK2B/PLEC/NFATC1	6	 GO-CC
GO:0046710	GDP metabolic process	3/185	11/18870	0.000144374191682342	0.154782377279498	0.152587574957246	DLG1/DLG2/TJP2	3	 GO-BP
GO:0019935	cyclic-nucleotide-mediated signaling	6/185	83/18870	0.000165314773845756	0.154782377279498	0.152587574957246	PRKG1/AKAP6/OPRL1/GUCY1A2/ADORA2B/PDE11A	6	 GO-BP
GO:0045986	negative regulation of smooth muscle contraction	3/185	13/18870	0.000246654327903334	0.154782377279498	0.152587574957246	PRKG1/DOCK5/ADORA2B	3	 GO-BP
GO:0019934	cGMP-mediated signaling	4/185	33/18870	0.000292985892192224	0.154782377279498	0.152587574957246	PRKG1/GUCY1A2/ADORA2B/PDE11A	4	 GO-BP
GO:0007586	digestion	7/185	134/18870	0.0003580512862623	0.154782377279498	0.152587574957246	PRSS1/PRSS2/MUC4/AMY2A/CLPSL1/CLPS/TJP2	7	 GO-BP
GO:0032094	response to food	4/185	36/18870	0.00041220340154327	0.154782377279498	0.152587574957246	GHR/PLEC/CLPSL1/CLPS	4	 GO-BP
GO:0016776	phosphotransferase activity, phosphate group as acceptor	4/196	36/18496	0.000552426637491885	0.152830547958612	0.145279307135737	DLG1/DLG2/NME7/TJP2	4	 GO-MF
GO:0019205	nucleobase-containing compound kinase activity	4/196	43/18496	0.00109243964807999	0.152830547958612	0.145279307135737	DLG1/DLG2/NME7/TJP2	4	 GO-MF
GO:0050145	nucleoside monophosphate kinase activity	3/196	20/18496	0.00116962154049958	0.152830547958612	0.145279307135737	DLG1/DLG2/TJP2	3	 GO-MF
GO:0070300	phosphatidic acid binding	3/196	23/18496	0.00177505513896517	0.15615872038551	0.148443037101157	JPH2/SESTD1/GSDMD	3	 GO-MF
GO:0072341	modified amino acid binding	5/196	84/18496	0.00199182041308049	0.15615872038551	0.148443037101157	GAS6/JPH2/SLC19A1/OSBPL10/GSDMD	5	 GO-MF
GO:0044325	transmembrane transporter binding	6/196	133/18496	0.00295633022518137	0.193146908045183	0.183603666616527	AKAP6/DLG1/RIMS1/KCNIP1/CNTNAP2/TJP2	6	 GO-MF
GO:0070273	phosphatidylinositol-4-phosphate binding	3/196	29/18496	0.00349553743607675	0.195750096420298	0.186078233439273	JPH2/SESTD1/GSDMD	3	 GO-MF
GO:0001786	phosphatidylserine binding	4/196	62/18496	0.00422473325390374	0.207011929441283	0.196783627879201	GAS6/JPH2/OSBPL10/GSDMD	4	 GO-MF
GO:0005528	FK506 binding	2/196	10/18496	0.00475401757581165	0.207063876635352	0.196833008402026	FKBP5/NFATC1	2	 GO-MF
hsa04612	Antigen processing and presentation	6/99	81/9390	0.000202221008356963	0.0404442016713926	0.039379880574777	3822/3821/115653/3804/3802/3809	6	KEGG
hsa04970	Salivary secretion	6/99	97/9390	0.000537781067724902	0.0537781067724902	0.052362893436372	5592/5542/280/279/2977/5554	6	KEGG
hsa05332	Graft-versus-host disease	4/99	45/9390	0.00124361162585937	0.0829074417239582	0.0807256669417488	3821/115653/3804/3802	4	KEGG
hsa04650	Natural killer cell mediated cytotoxicity	6/99	134/9390	0.00285946363892231	0.142973181946116	0.139210729789639	3822/3821/4772/3804/3802/3809	6	KEGG
