pQTL.Protein	pQTL.Disease/Phenotype	pQTL.pvalue	pQTL.rsID	pQTL.steiger_pvalue	pQTL.coloc_prob	pQTL.beta	pQTL.method	pQTL.trans_cis	pQTL.q_pvalue	pQTL.ld_check	pQTL.se
APOB	LDL cholesterol	1.8442132500433e-54	rs520354	2.74821789769675e-08	NA	-0.189581272667326	Wald ratio	cis	NA	0.6035332119	0.012199142762941
APOB	Total cholesterol	1.22343287990995e-38	rs520354	6.78821199251445e-09	NA	-0.154302670623145	Wald ratio	cis	NA	0.341053664	0.0118694362017804
APOB	HDL cholesterol	2.28903481949853e-16	rs520354	5.08951547573133e-10	NA	0.0919881305637982	Wald ratio	cis	NA	0.341053664	0.0112100230794593
APOB	Triglycerides	6.38178334582179e-14	rs520354	3.63922225687929e-10	NA	-0.0840751730959446	Wald ratio	cis	NA	0.5389439204	0.0112100230794593
APOB	Neo-openness to experience	0.00149800344991444	rs520354	NA	NA	0.747444774151006	Wald ratio	cis	NA	NA	0.235410484668645
APOB	Non-cancer illness code  self-reported: gastro-oesophageal reflux (gord)  or  gastric reflux	0.0279583124902989	rs4751870	NA	NA	0.00390889379793173	Inverse variance weighted	trans	0.222009989075914	NA	0.00177849114387271
APOB	Non-cancer illness code  self-reported: gastro-oesophageal reflux (gord)  or  gastric reflux	0.0279583124902989	rs964184	NA	NA	0.00390889379793173	Inverse variance weighted	trans	0.222009989075914	NA	0.00177849114387271
APOB	Non-cancer illness code  self-reported: gastro-oesophageal reflux (gord)  or  gastric reflux	0.0279583124902989	rs520354	NA	NA	0.00390889379793173	Inverse variance weighted	cis	0.222009989075914	NA	0.00177849114387271
APOB	Subjective well being	0.0367931512236253	rs964184	NA	NA	-0.0198000037765675	Inverse variance weighted	trans	0.995006499000262	NA	0.00948252462593241
APOB	Subjective well being	0.0367931512236253	rs520354	NA	NA	-0.0198000037765675	Inverse variance weighted	cis	0.995006499000262	NA	0.00948252462593241
APOB	ER-negative Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	0.0368359242640184	rs4751870	NA	NA	-0.070055985801248	Inverse variance weighted	trans	0.85767576252361	NA	0.0335585008278682
APOB	ER-negative Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	0.0368359242640184	rs964184	NA	NA	-0.070055985801248	Inverse variance weighted	trans	0.85767576252361	NA	0.0335585008278682
APOB	ER-negative Breast cancer (Combined Oncoarray; iCOGS; GWAS meta analysis)	0.0368359242640184	rs520354	NA	NA	-0.070055985801248	Inverse variance weighted	cis	0.85767576252361	NA	0.0335585008278682
APOB	Body mass index (BMI)	0.0419600332839112	rs4751870	NA	NA	0.0180983143877697	Inverse variance weighted	trans	0.206894704824348	NA	0.00889825909598696
APOB	Body mass index (BMI)	0.0419600332839112	rs964184	NA	NA	0.0180983143877697	Inverse variance weighted	trans	0.206894704824348	NA	0.00889825909598696
APOB	Body mass index (BMI)	0.0419600332839112	rs520354	NA	NA	0.0180983143877697	Inverse variance weighted	cis	0.206894704824348	NA	0.00889825909598696
APOB	Invasive mucinous ovarian cancer	0.0479989840874787	rs4751870	NA	NA	-0.231186754825254	Inverse variance weighted	trans	0.436073105498205	NA	0.116915846316393
APOB	Invasive mucinous ovarian cancer	0.0479989840874787	rs964184	NA	NA	-0.231186754825254	Inverse variance weighted	trans	0.436073105498205	NA	0.116915846316393
APOB	Invasive mucinous ovarian cancer	0.0479989840874787	rs520354	NA	NA	-0.231186754825254	Inverse variance weighted	cis	0.436073105498205	NA	0.116915846316393
APOB	Happiness	0.0515458951340954	rs4751870	NA	NA	0.0171158996132053	Inverse variance weighted	trans	0.944882310244074	NA	0.00879132918811928
APOB	Happiness	0.0515458951340954	rs964184	NA	NA	0.0171158996132053	Inverse variance weighted	trans	0.944882310244074	NA	0.00879132918811928
APOB	Happiness	0.0515458951340954	rs520354	NA	NA	0.0171158996132053	Inverse variance weighted	cis	0.944882310244074	NA	0.00879132918811928
APOB	Birth length	0.0550644483874882	rs520354	NA	NA	-0.0619848334981866	Wald ratio	cis	NA	NA	0.0323112429937356
APOB	Weight	0.0554124620808986	rs4751870	NA	NA	0.015143710053871	Inverse variance weighted	trans	0.203159370820331	NA	0.00790535009986289
APOB	Weight	0.0554124620808986	rs964184	NA	NA	0.015143710053871	Inverse variance weighted	trans	0.203159370820331	NA	0.00790535009986289
APOB	Weight	0.0554124620808986	rs520354	NA	NA	0.015143710053871	Inverse variance weighted	cis	0.203159370820331	NA	0.00790535009986289
APOB	Diagnoses - main ICD10: M17 Gonarthrosis [arthrosis of knee]	0.0614361148897242	rs4751870	NA	NA	0.00185730769662909	Inverse variance weighted	trans	0.521274241159405	NA	0.000993030195082905
APOB	Diagnoses - main ICD10: M17 Gonarthrosis [arthrosis of knee]	0.0614361148897242	rs964184	NA	NA	0.00185730769662909	Inverse variance weighted	trans	0.521274241159405	NA	0.000993030195082905
APOB	Diagnoses - main ICD10: M17 Gonarthrosis [arthrosis of knee]	0.0614361148897242	rs520354	NA	NA	0.00185730769662909	Inverse variance weighted	cis	0.521274241159405	NA	0.000993030195082905
APOB	Diagnoses - main ICD10: M16 Coxarthrosis [arthrosis of hip]	0.0800947404831816	rs4751870	NA	NA	-0.00151112501363029	Inverse variance weighted	trans	0.373813557612442	NA	0.000863432596126568
APOB	Diagnoses - main ICD10: M16 Coxarthrosis [arthrosis of hip]	0.0800947404831816	rs964184	NA	NA	-0.00151112501363029	Inverse variance weighted	trans	0.373813557612442	NA	0.000863432596126568
APOB	Diagnoses - main ICD10: M16 Coxarthrosis [arthrosis of hip]	0.0800947404831816	rs520354	NA	NA	-0.00151112501363029	Inverse variance weighted	cis	0.373813557612442	NA	0.000863432596126568
APOB	Diagnoses - main ICD10: K44 Diaphragmatic hernia	0.0828496913232981	rs4751870	NA	NA	0.00184725214993814	Inverse variance weighted	trans	0.243233370642411	NA	0.0010650758215043
APOB	Diagnoses - main ICD10: K44 Diaphragmatic hernia	0.0828496913232981	rs964184	NA	NA	0.00184725214993814	Inverse variance weighted	trans	0.243233370642411	NA	0.0010650758215043
APOB	Diagnoses - main ICD10: K44 Diaphragmatic hernia	0.0828496913232981	rs520354	NA	NA	0.00184725214993814	Inverse variance weighted	cis	0.243233370642411	NA	0.0010650758215043
APOB	Heel bone mineral density (BMD) T-score  automated	0.103099794121842	rs4751870	NA	NA	0.0149555309078986	Inverse variance weighted	trans	0.435524826375612	NA	0.00917512698331435
APOB	Heel bone mineral density (BMD) T-score  automated	0.103099794121842	rs964184	NA	NA	0.0149555309078986	Inverse variance weighted	trans	0.435524826375612	NA	0.00917512698331435
APOB	Heel bone mineral density (BMD) T-score  automated	0.103099794121842	rs520354	NA	NA	0.0149555309078986	Inverse variance weighted	cis	0.435524826375612	NA	0.00917512698331435
APOB	Diagnoses - main ICD10: I83 Varicose veins of lower extremities	0.114911037517812	rs4751870	NA	NA	0.00160983216148612	Inverse variance weighted	trans	0.605140820713818	NA	0.00102114431867897
APOB	Diagnoses - main ICD10: I83 Varicose veins of lower extremities	0.114911037517812	rs964184	NA	NA	0.00160983216148612	Inverse variance weighted	trans	0.605140820713818	NA	0.00102114431867897
APOB	Diagnoses - main ICD10: I83 Varicose veins of lower extremities	0.114911037517812	rs520354	NA	NA	0.00160983216148612	Inverse variance weighted	cis	0.605140820713818	NA	0.00102114431867897
APOB	Diagnoses - main ICD10: K57 Diverticular disease of intestine	0.120474339575375	rs4751870	NA	NA	0.0015764145724708	Inverse variance weighted	trans	0.773379683696527	NA	0.00101521708378086
APOB	Diagnoses - main ICD10: K57 Diverticular disease of intestine	0.120474339575375	rs964184	NA	NA	0.0015764145724708	Inverse variance weighted	trans	0.773379683696527	NA	0.00101521708378086
APOB	Diagnoses - main ICD10: K57 Diverticular disease of intestine	0.120474339575375	rs520354	NA	NA	0.0015764145724708	Inverse variance weighted	cis	0.773379683696527	NA	0.00101521708378086
APOB	Red blood cell count	0.122236355448012	rs520354	NA	NA	-0.0112100230794593	Wald ratio	cis	NA	NA	0.00725354434553248
APOB	Height	0.125490862677703	rs964184	NA	NA	-0.0143601519919454	Inverse variance weighted	trans	0.710789345798889	NA	0.00937268453987125
APOB	Height	0.125490862677703	rs520354	NA	NA	-0.0143601519919454	Inverse variance weighted	cis	0.710789345798889	NA	0.00937268453987125
APOB	Paget's disease	0.148552695320151	rs964184	NA	NA	0.292684299421329	Inverse variance weighted	trans	0.958759637020832	NA	0.202597001213212
APOB	Paget's disease	0.148552695320151	rs520354	NA	NA	0.292684299421329	Inverse variance weighted	cis	0.958759637020832	NA	0.202597001213212
APOB	Eczema	0.149695140381283	rs4751870	NA	NA	-0.0723639055695005	Inverse variance weighted	trans	0.464482658075124	NA	0.0502314640366774
APOB	Eczema	0.149695140381283	rs964184	NA	NA	-0.0723639055695005	Inverse variance weighted	trans	0.464482658075124	NA	0.0502314640366774
APOB	Eczema	0.149695140381283	rs520354	NA	NA	-0.0723639055695005	Inverse variance weighted	cis	0.464482658075124	NA	0.0502314640366774
APOB	Diagnoses - main ICD10: K80 Cholelithiasis	0.155086571032053	rs4751870	NA	NA	0.00223340463710587	Inverse variance weighted	trans	0.0943717141465974	NA	0.00157083754123579
APOB	Diagnoses - main ICD10: K80 Cholelithiasis	0.155086571032053	rs964184	NA	NA	0.00223340463710587	Inverse variance weighted	trans	0.0943717141465974	NA	0.00157083754123579
APOB	Diagnoses - main ICD10: K80 Cholelithiasis	0.155086571032053	rs520354	NA	NA	0.00223340463710587	Inverse variance weighted	cis	0.0943717141465974	NA	0.00157083754123579
APOB	Packed cell volume	0.157135142876957	rs520354	NA	NA	-0.0820969337289812	Wald ratio	cis	NA	NA	0.0580283547642598
APOB	Non-cancer illness code  self-reported: osteoarthritis	0.158003184600251	rs4751870	NA	NA	0.00352584349518173	Inverse variance weighted	trans	0.206409307359797	NA	0.00249737596281619
APOB	Non-cancer illness code  self-reported: osteoarthritis	0.158003184600251	rs964184	NA	NA	0.00352584349518173	Inverse variance weighted	trans	0.206409307359797	NA	0.00249737596281619
APOB	Non-cancer illness code  self-reported: osteoarthritis	0.158003184600251	rs520354	NA	NA	0.00352584349518173	Inverse variance weighted	cis	0.206409307359797	NA	0.00249737596281619
APOB	Low grade serous ovarian cancer	0.1591196935408	rs4751870	NA	NA	-0.198882862181056	Inverse variance weighted	trans	0.572622422704752	NA	0.14124817850079
APOB	Low grade serous ovarian cancer	0.1591196935408	rs964184	NA	NA	-0.198882862181056	Inverse variance weighted	trans	0.572622422704752	NA	0.14124817850079
APOB	Low grade serous ovarian cancer	0.1591196935408	rs520354	NA	NA	-0.198882862181056	Inverse variance weighted	cis	0.572622422704752	NA	0.14124817850079
APOB	Body fat	0.159419917705566	rs964184	NA	NA	0.0204860816316303	Inverse variance weighted	trans	0.541399377891445	NA	0.0145598541481815
APOB	Body fat	0.159419917705566	rs520354	NA	NA	0.0204860816316303	Inverse variance weighted	cis	0.541399377891445	NA	0.0145598541481815
