#RANK	ID	GENE_SYMBOL	ENTREZ_GENE_ID	MOI	P-VALUE	EXOMISER_GENE_COMBINED_SCORE	EXOMISER_GENE_PHENO_SCORE	EXOMISER_GENE_VARIANT_SCORE	HUMAN_PHENO_SCORE	MOUSE_PHENO_SCORE	FISH_PHENO_SCORE	WALKER_SCORE	PHIVE_ALL_SPECIES_SCORE	OMIM_SCORE	MATCHES_CANDIDATE_GENE	HUMAN_PHENO_EVIDENCE	MOUSE_PHENO_EVIDENCE	FISH_PHENO_EVIDENCE	HUMAN_PPI_EVIDENCE	MOUSE_PPI_EVIDENCE	FISH_PPI_EVIDENCE
1	PLCB1_AR	PLCB1	23236	AR	0.0062	0.8694	0.9770	0.5476	0.9770	0.4798	0.0000	0.0000	0.9770	1.0000	0	Infantile spasms syndrome (ORPHA:3451): Epileptic spasm (HP:0011097)-Infantile spasms (HP:0012469), 	Epileptic spasm (HP:0011097)-abnormal excitatory postsynaptic currents (MP:0002910), 				
2	MPHOSPH8_AD	MPHOSPH8	54737	AD	0.0146	0.7534	0.5036	0.9986	0.0000	0.0000	0.0000	0.5036	0.5036	1.0000	0				Proximity to EHMT1 associated with Kleefstra syndrome due to 9q34 microdeletion (ORPHA:96147): Epileptic spasm (HP:0011097)-Epileptic spasm (HP:0011097), 	Proximity to EHMT1 Epileptic spasm (HP:0011097)-impaired synaptic plasticity (MP:0001900), 	
3	NOM1_AD	NOM1	64434	AD	0.0149	0.7518	0.5015	1.0000	0.0000	0.0000	0.0000	0.5015	0.5015	1.0000	0				Proximity to EIF4A2 associated with Neurodevelopmental disorder with hypotonia and speech delay, with or without seizures (OMIM:620455): Epileptic spasm (HP:0011097)-Epileptic spasm (HP:0011097), 		
4	PXDNL_AD	PXDNL	137902	AD	0.0154	0.7494	0.5002	1.0000	0.0000	0.0000	0.0000	0.5002	0.5002	1.0000	0				Proximity to ALG2 associated with Congenital disorder of glycosylation, type Ii (OMIM:607906): Epileptic spasm (HP:0011097)-Epileptic spasm (HP:0011097), 		
5	PTPRN2_AD	PTPRN2	5799	AD	0.0155	0.7491	0.5001	1.0000	0.0000	0.0000	0.0000	0.5001	0.5001	1.0000	0				Proximity to SPTBN1 associated with Developmental delay, impaired speech, and behavioral abnormalities (OMIM:619475): Epileptic spasm (HP:0011097)-Infantile spasms (HP:0012469), 	Proximity to SPTBN1 Epileptic spasm (HP:0011097)-abnormal brain development (MP:0000913), 	
6	PRTFDC1_AD	PRTFDC1	56952	AD	0.0155	0.7490	0.5000	1.0000	0.0000	0.0000	0.0000	0.5000	0.5000	1.0000	0				Proximity to SDHA associated with Isolated succinate-CoQ reductase deficiency (ORPHA:3208): Epileptic spasm (HP:0011097)-Focal myoclonic seizure (HP:0011166), 		
7	CSMD1_AD	CSMD1	64478	AD	0.0155	0.7489	0.5000	1.0000	0.0000	0.0000	0.0000	0.5000	0.5000	1.0000	0				Proximity to MECP2 associated with Atypical Rett syndrome (ORPHA:3095): Epileptic spasm (HP:0011097)-Infantile spasms (HP:0012469), 	Proximity to MECP2 Epileptic spasm (HP:0011097)-abnormal nervous system electrophysiology (MP:0002272), 	
8	PSPC1_AD	PSPC1	55269	AD	0.0165	0.7466	0.5000	0.9986	0.0000	0.0000	0.0000	0.5000	0.5000	1.0000	0				Proximity to MED11 associated with Neurodegeneration with developmental delay, early respiratory failure, myoclonic seizures, and brain abnormalities (OMIM:620327): Epileptic spasm (HP:0011097)-Myoclonic seizure (HP:0032794), 		
9	SELENOI_AR	SELENOI	85465	AR	0.0379	0.6913	0.5606	0.9002	0.5606	0.0000	0.0000	0.5204	0.5606	1.0000	0	Autosomal recessive complex spastic paraplegia due to Kennedy pathway dysfunction (ORPHA:506353): Epileptic spasm (HP:0011097)-Seizure (HP:0001250), 			Proximity to PCYT2 associated with Spastic paraplegia 82, autosomal recessive (OMIM:618770): Epileptic spasm (HP:0011097)-Bilateral tonic-clonic seizure with generalized onset (HP:0025190), 		
10	SMC6_AD	SMC6	79677	AD	0.0406	0.6837	0.5001	0.9648	0.0000	0.0000	0.0000	0.5001	0.5001	1.0000	0				Proximity to SMC1A associated with Atypical Rett syndrome (ORPHA:3095): Epileptic spasm (HP:0011097)-Infantile spasms (HP:0012469), 		
11	RALA_AD	RALA	5898	AD	0.0550	0.6432	0.5606	0.8766	0.5606	0.3967	0.0000	0.5054	0.5606	1.0000	0	Hiatt-Neu-Cooper neurodevelopmental syndrome (OMIM:619311): Epileptic spasm (HP:0011097)-Seizure (HP:0001250), 	Epileptic spasm (HP:0011097)-spinal hemorrhage (MP:0006054), 		Proximity to EXOC8 associated with ?Neurodevelopmental disorder with microcephaly, seizures, and brain atrophy (OMIM:619076): Epileptic spasm (HP:0011097)-Myoclonic seizure (HP:0032794), 		
12	OTULIN_AD	OTULIN	90268	AD	0.0715	0.5937	0.5002	0.9221	0.0000	0.2714	0.0000	0.5002	0.5002	1.0000	0		Epileptic spasm (HP:0011097)-abnormal vestibulocochlear nerve morphology (MP:0001072), 		Proximity to IREB2 associated with Neurodegeneration, early-onset, with choreoathetoid movements and microcytic anemia (OMIM:618451): Epileptic spasm (HP:0011097)-Bilateral tonic-clonic seizure with generalized onset (HP:0025190), 	Proximity to IREB2 Epileptic spasm (HP:0011097)-abnormal thalamus morphology (MP:0000832), 	
13	LAP3_AR	LAP3	51056	AR	0.0754	0.5825	0.5011	0.9160	0.0000	0.0000	0.0000	0.5011	0.5011	1.0000	0				Proximity to PYCR2 associated with PYCR2-related microcephaly-progressive leukoencephalopathy (ORPHA:481152): Epileptic spasm (HP:0011097)-Focal myoclonic seizure (HP:0011166), 	Proximity to PYCR2 Epileptic spasm (HP:0011097)-increased neuron apoptosis (MP:0003203), 	
